gene_a,gene_b,fr_label,sl_label,source_GI_flag,PC9_GI_flag,HeLa_GI_flag,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score,HeLa_GI_fdr
ZNF562,ZNF561,FR_positive,False,buffering,neither_in_PC9,buffering_in_HeLa,-0.134005585621438,0.496326378094841,0.330426073519862,0.0664599065893559
NT5C,NT5M,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.132004341857966,0.440560650892078,-0.111549948466624,0.456783821023811
ZNF175,ZNF81,FR_positive,False,buffering,neither_in_PC9,buffering_in_HeLa,-0.130907615321423,0.56474827293422,0.296722903071673,0.0833401963739068
TRABD2B,TRABD2A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.130872814565101,0.257816820900764,-0.15771363851353,0.360986960341723
WNT10B,WNT10A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.130487414779888,0.503256585780701,-0.0832503205911984,0.474073117347643
FOXR2,FOXR1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.130408797948602,0.512460022890457,-0.0660734596874254,0.789954926425704
TAF1L,TAF1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.130294820269499,0.813869054972289,-0.299176847446036,0.313575094890335
KIF13B,KIF13A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.129768870775365,0.429175847041206,-0.0579713046853474,0.810106137505489
MAGT1,TUSC3,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.129481391880078,0.620087744053151,0.00276764467332862,0.988399872916704
SNRPB,SNRPN,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.129470102439858,0.430631148268174,-0.158998050687285,0.466187375266486
PLPP5,PLPP4,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.128181891128204,0.539214753588339,0.267135778961137,0.255705837806287
LHFPL6,LHFPL1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.126761688653838,0.735643196306999,-0.0756853585052694,0.562108013389806
BTF3L4,BTF3,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.126595264339787,0.696808141457523,-0.300069514193341,0.48021878839608
AGPAT3,AGPAT4,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.125800663080422,0.150452206855773,-0.221486777897304,0.263036744696882
DAAM2,DAAM1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.125291512890588,0.579620884962609,0.0550112257036871,0.747434773381791
SLC28A2,SLC28A1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.120285987617926,0.617604472182165,0.09769909425338,0.332518327881287
SGTB,SGTA,FR_positive,False,buffering,neither_in_PC9,buffering_in_HeLa,-0.119016609454876,0.735643196306999,0.289706496077174,0.0851307324184559
TRPM3,TRPM1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.118268954260412,0.714119629755693,-0.184983614485897,0.377806085440341
CAMK2N2,CAMK2N1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.117140374653327,0.644780468051761,-0.220810614344077,0.0334716379659348
PCMTD2,PCMTD1,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.115828193792791,0.662647086960036,-0.518556021429879,0.00181787827842826
YIPF7,YIPF5,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.115034964246499,0.571081167410724,0.230660390213249,0.162053658526556
PTPN11,PTPN6,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.114284630614655,0.731442679868563,-0.264032070248764,0.33200525485249
ZNF24,ZNF396,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.113749836904306,0.743827422990646,0.0221334189046328,0.862403026784003
ASAP1,ASAP2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.113433721598319,0.718752170971682,0.0688226822616416,0.712656558397012
STRIP2,STRIP1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.112730989405327,0.662686582347554,-0.330372689833263,0.137658111552067
SOX1,SOX2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.111761872710642,0.562202315261349,0.101475507884777,0.614168069040685
PHKG2,PHKG1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.111661754583103,0.499108955954865,0.239092622250413,0.39235697856078
PYCR2,PYCR1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.111128771604066,0.440560650892078,0.0161163677232485,0.883161377093026
GOLGA7B,GOLGA7,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.110680250298349,0.502086722540562,-0.0884884990546857,0.452044526994086
CXCL6,CXCL5,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.110493474404695,0.56474827293422,-0.00858382968108828,0.942144096874262
DERL3,DERL2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.110399840366942,0.525174224989015,-0.110754757479532,0.278842985083944
CSGALNACT2,CSGALNACT1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.110182323898168,0.650889873614964,0.158944748792124,0.389804800666273
NLN,THOP1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.109980886013053,0.416540051840833,-0.115072412342405,0.427743552978195
DDTL,DDT,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.109976534975975,0.530195787416603,0.216172429597991,0.240282010759303
SMARCA1,SMARCA5,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.109629246482049,0.751444916496567,-0.0988759688084246,0.745610818796955
SLC25A52,SLC25A51,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.109000006151873,0.589125827844628,-0.144180127373468,0.416655614935862
CABP5,CABP2,FR_positive,False,buffering,neither_in_PC9,buffering_in_HeLa,-0.108991541633905,0.573457787050194,0.265716750284609,0.0704513741332156
CHUK,IKBKB,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.106933314504174,0.426188988150802,0.091253421993549,0.498214011153234
KDELC2,KDELC1,FR_positive,False,buffering,neither_in_PC9,buffering_in_HeLa,-0.106586766255957,0.591725880375623,0.335723977938799,0.0379995469067131
DHRS4L2,DHRS4,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.106493303635369,0.635806371615438,-0.0418618963659948,0.802345756705059
FAT3,FAT1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.105938043088922,0.481644330272611,-0.0068439797656141,0.951076280031597
